Angular_Width,35.0,30.0,43.0,60.0,30.0,46.0,46.0,56.0,50.0,38.0,72.0,69.0,36.0,55.0,60.0,50.0,31.0,30.0,30.0,47.0,27.0,31.0,30.0,32.0,66.0,35.0,58.0,30.0,30.0,35.0,40.0,40.0,25.0,63.0,29.0,45.0,45.0,39.0,45.0,27.0,22.0,22.0,50.0,29.0,37.0,47.0,45.0,40.0,41.0,38.0,43.0,50.0,58.0,45.0,45.0,37.0,35.0,26.0,29.0,22.0,19.0,24.0,27.0,17.0,30.0,41.0,50.0,27.0,11.0,35.0,38.0,45.0,31.0,45.0,61.0,35.0,35.0,46.0,30.0,41.0,49.0,32.0,58.0,39.0,45.0,43.0,44.0,45.0,45.0,45.0,40.0,45.0,42.0,45.0,19.0,29.0,45.0
Velocity,920.0,950.0,830.0,1950.0,650.0,600.0,600.0,720.0,1507.0,1150.0,930.0,1020.0,301.0,815.0,2250.0,1364.0,535.0,730.0,730.0,650.0,570.0,447.0,450.0,825.0,1485.0,520.0,675.0,300.0,300.0,440.0,600.0,610.0,790.0,851.0,396.0,202.0,202.0,676.0,1400.0,236.0,917.0,917.0,296.0,576.0,354.0,1250.0,1155.0,329.0,567.0,744.0,861.0,780.0,850.0,483.0,350.0,243.0,487.0,375.0,386.0,260.0,309.0,471.0,594.0,262.0,232.0,1383.0,680.0,717.0,275.0,393.0,287.0,649.0,561.0,628.0,677.0,702.0,422.0,553.0,247.0,539.0,767.0,452.0,920.0,750.0,749.0,1204.0,1494.0,1651.0,635.0,901.0,934.0,729.0,466.0,523.0,786.0,467.0,782.0
Observed,470.0,510.0,500.0,540.0,470.0,390.0,430.0,390.0,580.0,370.0,450.0,450.0,370.0,440.0,680.0,440.0,410.0,500.0,420.0,390.0,380.0,390.0,430.0,360.0,520.0,520.0,410.0,430.0,430.0,350.0,430.0,400.0,480.0,490.0,490.0,510.0,540.0,360.0,600.0,390.0,380.0,380.0,390.0,370.0,460.0,610.0,550.0,490.0,500.0,510.0,430.0,500.0,440.0,370.0,420.0,390.0,360.0,360.0,410.0,330.0,410.0,470.0,450.0,380.0,330.0,440.0,510.0,410.0,340.0,380.0,390.0,480.0,370.0,460.0,410.0,380.0,460.0,520.0,380.0,440.0,490.0,380.0,650.0,490.0,450.0,520.0,550.0,480.0,450.0,380.0,500.0,490.0,430.0,510.0,440.0,370.0,460.0
Spheroidal,451.0415106571591,,,728.9058635485086,506.6502407999915,548.7838420282856,548.7838420282856,501.5040497389641,376.6657409816116,,567.0599137836728,490.0467669738617,351.95028203157466,474.54281263968375,563.812262345785,637.3545761099558,439.3635563230264,382.6912557194828,382.6912557194828,439.43038653169685,589.4301509685492,462.2724729791089,340.41697973980337,436.37682238630055,594.2758492224441,393.4107856983396,530.1558567309488,,,464.4313327916318,384.34547965289096,481.7968468050924,586.356434133234,481.8199251477654,,433.97262735232454,433.97262735232454,395.16185163422784,403.3127645875108,651.0134774696738,499.6802848897457,499.6802848897457,340.9731885900504,674.1226513381738,,466.3491318507554,517.0489418853134,548.7132894854597,480.54499763064183,441.87228345620485,409.19136078630964,588.9822722461466,587.6443082825999,521.5135987289061,615.3671860068275,704.7669063604859,505.3348190685456,431.39241557396764,338.57439851899267,329.47827677220687,380.4604170431379,331.88349029290794,377.69704815177215,473.64563217405976,506.0201490024408,413.4461285384367,560.5106305789566,629.4842614620721,,416.0915072842264,358.9021141266974,397.8118257275788,627.9199467173529,483.40021813704965,556.3160153280617,417.5118786248535,,387.25674932817,498.2156320720749,559.4739038081541,597.6750054006843,570.0327836797,500.9236449543274,,,569.1860079522281,475.33232092560496,444.7019794495352,446.92318947216813,691.2132535121676,494.99833645241006,547.0240739011392,497.24738728330556,431.0363845112188,565.1616966025024,386.92380553324307,404.9637396830165
v_0.1h,,,,,,,,,,,321.8674485924966,,,,,637.2546489290586,,489.7096620551229,489.7096620551229,,,497.00054880931896,,,415.1842879308464,,430.3201993810618,,,476.7551806914488,491.10908774993555,458.86225741410857,,,,,,360.6649225251776,347.8483409238709,,,,,,,400.776164252109,384.13721808575787,,,,,543.8436406468569,642.729423185216,,624.5175147977716,,,,,,,337.59810203580605,,484.4191677981351,,,,,,475.4960538556723,,,,498.91794064025424,393.7169601198297,,,365.73992820900344,498.21563211324127,,,,,,,,369.0795894372797,,,,425.3049206593734,548.0298116729058,,,,,399.94403974566563
v_0.6h,386.878389903786,,,728.9038558340145,503.32103028493475,548.7839140145741,548.7839140145741,501.5040493205181,376.66553015250935,,327.288116095631,372.46380525657435,413.3087316543704,423.2637644908985,563.8114374549066,637.2768265396505,424.85029996698063,489.7096620552743,489.7096620552743,439.43038652504134,589.432623800799,496.60034111575334,327.12880454056744,406.6642006181704,415.47538344563907,388.53679362266365,430.3201993810702,,,472.57255584363577,479.1502878631975,458.0100993582096,586.3566362901051,443.69247083353304,,428.0088099920772,428.0088099920772,360.66492695063687,346.527087341095,651.0134774696738,554.1966970277056,554.1966970277056,347.3226534571421,674.1226513381738,,400.8412600468191,402.58911412581205,584.7158195589908,480.54499762850486,439.43350461454764,362.74213538364677,543.8436414303167,642.729423185216,521.5135987292828,624.5175147977716,490.4860648860126,502.95473207198387,431.39243245827834,342.5726394266047,330.3147198436613,387.39746149369375,336.07661309864085,424.23508084644385,483.0788180684837,506.11680589879217,315.4256820481045,544.3199994695918,629.4842614620762,,474.5828011830233,406.2518545247289,400.5662746359413,628.2281619572731,498.91839686493535,399.3928606628983,390.10791834264256,,353.9685227428048,498.2156321132382,559.5089685221155,524.7254349474782,570.0326617946489,366.48225994726164,,,569.1860079478522,357.08701431501925,376.8597918642057,446.9232484213951,691.214862454655,426.1027198489821,548.5278409245295,576.5172478002073,433.35882738163366,565.1616943072158,418.59839674220575,400.74349466152773
v_1.1h,393.3672696005201,,,728.9039888668178,503.4627393312927,548.7839140815549,548.7839140815549,501.50404932064083,376.66554939275886,,333.24679954582655,372.4644676920527,410.58299833482437,423.26379280369207,563.8114960172144,637.2875653708325,425.0491819301553,489.70966205539816,489.70966205539816,439.43038652575865,589.4326108181635,496.1554627155021,327.13069868729826,408.78273702946717,415.600178684789,388.70923491607874,430.3201993810764,,,468.48291433607477,363.3202650710041,457.04872221788787,586.3566957437384,425.81293231369636,,428.0087156926013,428.0087156926013,360.6649304702382,340.6706989354727,651.0134774696738,540.1689374910463,540.1689374910463,347.3221149338571,674.1226513381738,,400.8743018015188,415.26054223226396,584.71537448333,480.5449976285202,439.38859502787136,362.4802413834053,543.8436420354458,642.729423185216,521.5135987292828,624.5175147977716,520.9238764028382,502.95473207198387,431.39243243771233,341.67688293064435,330.310782573144,385.9612535610939,334.8426106307364,424.23508084650047,481.68693514875696,506.11680033722104,330.0963374097183,544.0917059542289,629.4842614620767,,473.5763031915377,405.7031343320301,400.56627463605736,628.2284091273144,498.91878431156766,406.0548042331001,391.2417528744255,,339.75785749343373,498.2156321132341,549.918883552052,526.8944751108791,570.0326844927972,366.48483039132446,,,569.1860079481776,371.1326860640628,376.860845346395,446.92324851732843,691.2148645597603,429.55123934329663,548.8888486768137,567.2295348241488,433.41369823082647,565.1616947230833,418.598396742207,401.3431132638662
v_1.6h,402.99920246435033,,,728.9040718011879,503.85081982510115,548.7839141544689,548.7839141544689,501.50404932095745,376.66557518217405,,339.40305002727115,372.464889927442,407.630983984193,423.263808680597,563.811539615046,637.2938853674302,426.40525573508734,476.49080690167966,476.49080690167966,439.43038652617844,589.4326180115628,495.5994480043834,327.1324713592283,411.4302521300396,415.66376558398713,389.1801571800992,430.3201993810798,,,464.98720621103837,309.73769801485855,456.1430159787822,586.3568795037669,404.20897029437185,,428.0086146237261,428.0086146237261,361.527579329375,336.4528132946926,651.0134774696738,529.5573646997004,529.5573646997004,347.321077106539,674.1226513381738,,400.89378302119644,424.45869759856134,584.7148403476842,480.54499762854726,439.2404739361838,361.0680829706386,543.8436424285209,642.729423185216,521.5135987292828,624.5160273938683,520.9238764028358,502.95473207198387,431.3924324072143,340.99694836102304,330.3058182714731,385.9612535610564,333.78801429852007,424.2350808465372,480.26896362729406,506.11679320420717,337.53140050919745,544.4758018583993,629.4842614620768,,472.41976349074065,405.12635821472145,400.56627463626774,628.2262740510643,498.9191275231754,412.2982790883159,391.8785493213498,,330.83977990585254,498.21563211322876,539.0825061054459,526.5799898284936,570.0327350983426,372.0562142521685,,,569.1860079484245,385.0034246730263,376.86144108059597,446.9232485611856,691.2148650612628,435.15746576188167,549.1493955688233,557.5952648427539,433.40850345602,565.1616952335229,418.5983967422082,401.8095653922149
v_2.1h,407.2539809365046,,,728.9041579934411,504.2758980228484,548.7839141850181,548.7839141850181,501.50404932136695,376.66560437786967,,345.8916561198463,372.4651578311237,404.7186137127886,423.26382877352665,563.8115766919221,637.2985496616863,426.6435247036356,441.4834023357543,441.4834023357543,439.43038652670805,589.4325928162436,494.97870277578227,327.13442541254136,412.7677544074205,419.30613262332554,389.1700983310989,430.32019938107857,,,461.0613092637743,314.8589219062007,455.3326688871912,586.3569045818451,383.1079642286487,,428.00843259917195,428.00843259917195,364.5347609101114,341.2155939156332,651.0134774696738,519.1379269638787,519.1379269638787,347.32019633164,674.1226513381738,,402.8119164095828,434.024304111865,584.7138678821954,480.5449976285677,439.20571876714985,364.0782468225687,543.8436425651512,642.729423185216,521.5135987292828,624.4132661182667,553.8156044375966,502.95473207198387,431.3924323604928,340.5134862658513,330.302266651847,385.96125356115766,332.862700129702,423.78375184046286,478.88600694173465,506.1167839110212,349.68315046117857,544.0980537696954,629.484261462077,,471.1245364989542,404.3957398249394,400.5662746364174,628.2246579205346,498.919444170938,418.6372758372098,392.9830378436871,,327.1558604020779,498.2156321132222,533.3101748872325,531.590185288336,570.0327839230052,381.9457045542002,,,569.1860079486287,398.94112799404894,382.7439700340488,446.9232486346193,691.2148628854166,440.8096512972442,549.3404427083026,548.7958172527173,433.4995019766949,565.1616955625085,418.5983967422096,402.1562736685255
v_2.6h,411.16907967041607,,,728.9042473970867,504.398246496478,548.7839142647572,548.7839142647572,501.50404932168146,376.66561706566773,,352.07202055121525,372.4654405954357,402.430703094541,423.26384596853603,563.8116158998929,637.3027297598501,426.468460899077,407.0811449871987,407.0811449871987,439.4303865271859,589.4325800510186,494.2452725434594,327.13704957262826,415.9064163918835,431.38907433180447,389.3453695603254,432.832750658192,,,458.15830370189997,320.49182839629265,454.6562223714973,586.3569560117481,371.5189898033107,,428.00817987033486,428.00817987033486,367.42826354306254,350.3837685136077,651.0134774696738,516.1597417349476,516.1597417349476,347.31912926422734,674.1226513381738,,408.70062902922245,443.4974459982853,584.7128594298823,480.54499762859047,439.13266557032205,367.616101319369,543.8436423563929,642.729423185216,521.5135987292828,624.2086283036216,586.2700814596664,502.95473207198387,431.3924322987633,339.87917820565826,330.29540769950097,384.33103317499206,332.4447523915411,422.53380854710866,477.6110507281456,506.1167795521737,362.0427555914294,544.3568199459763,629.4842614620771,,469.66562041918127,403.58517059161187,400.56627463658043,628.2216271204626,498.9197487280823,425.01864112373676,393.6026134954261,,327.15732740454797,498.21563211321376,527.7558862609538,536.8789422713836,570.0328311170575,387.0060552520431,,,569.1860079488677,412.63684931292914,395.4757949806928,446.9232486921502,691.2148620224544,443.9008106848909,549.5200057996378,537.4615476529302,433.4912872371416,565.1616959439152,417.8977061502937,402.4353669290365
