CME_Time,Time_21.5,lat,lon,Ang_rad,V,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,Time_Error,Good_Match
04/02/2014 01:25,04/02/2014 07:00,-34,29,62,660,2014/02/07 1705,08/02/2014 01:00,09/02/2014 12:00,420,460,9,2,0 days 00:49:00,FALSE
12/02/2014 05:48,12/02/2014 10:15,10,8,60,755,2014/02/15 1316,16/02/2014 05:00,16/02/2014 16:00,380,450,15,2,-1 days +23:36:00,FALSE
18/02/2014 01:25,18/02/2014 05:29,-28,-49,63,851,2014/02/20 0318,21/02/2014 02:00,22/02/2014 12:00,490,690,6,0,-1 days +23:49:00,FALSE
02/04/2014 13:55,02/04/2014 15:51,19,-50,68,1604,2014/04/05 1000,05/04/2014 22:00,07/04/2014 05:00,380,500,13,2,0 days 00:07:00,FALSE
18/04/2014 07:39,18/04/2014 16:44,-42,24,24,379,2014/04/20 1056,21/04/2014 07:00,22/04/2014 09:00,540,700,6,1,-1 days +18:14:00,FALSE
04/06/2014 13:25,04/06/2014 23:26,-45,-41,43,572,2014/06/07 1652,08/06/2014 20:00,10/06/2014 17:00,480,610,9,0,-1 days +22:01:00,FALSE
15/08/2014 21:12,16/08/2014 01:36,12,5,39,676,2014/08/19 0657,19/08/2014 16:00,21/08/2014 05:00,360,440,17,2,0 days 03:00:00,FALSE
12/09/2014 19:36,13/09/2014 06:12,25,-20,27,300,2014/09/17 0200,17/09/2014 02:00,18/09/2014 20:00,310,320,9,1,0 days 00:12:00,FALSE
08/11/2014 06:12,08/11/2014 19:49,57,99,14,246,2014/11/10 0220,11/11/2014 07:00,11/11/2014 20:00,480,520,9,0,0 days 12:04:00,FALSE
15/03/2015 08:36,16/03/2015 03:12,-5,-92,21,192,2015/03/17 0445,17/03/2015 13:00,18/03/2015 05:00,560,620,20,2,0 days 06:00:00,FALSE
21/06/2015 02:48,21/06/2015 05:01,7,-8,47,1250,2015/06/22 1833,23/06/2015 02:00,24/06/2015 14:00,610,740,14,1,0 days 00:12:00,FALSE
22/06/2015 18:36,22/06/2015 21:10,14,3,45,1155,2015/06/24 1329,25/06/2015 10:00,26/06/2015 06:00,550,720,5,0,0 days 00:00:00,TRUE
12/08/2015 15:12,12/08/2015 21:22,-22,36,41,567,2015/08/15 0829,15/08/2015 21:00,16/08/2015 08:00,500,510,12,1,0 days 00:00:00,TRUE
18/09/2015 05:00,18/09/2015 09:37,-26,7,38,744,2015/09/20 0604,21/09/2015 08:00,22/09/2015 01:00,510,600,5,0,0 days 00:00:00,TRUE
22/10/2015 03:12,22/10/2015 07:09,-13,37,43,861,2015/10/24 1854,25/10/2015 14:00,27/10/2015 04:00,430,490,7,1,0 days 00:00:00,TRUE
16/12/2015 09:36,16/12/2015 15:30,12,-30,45,650,2015/12/19 1616,20/12/2015 03:00,21/12/2015 20:00,400,490,15,2,0 days 00:12:00,FALSE
28/12/2015 12:39,28/12/2015 16:43,-15,14,58,850,2015/12/31 0050,31/12/2015 17:00,02/01/2016 11:00,440,480,10,2,0 days 00:27:00,FALSE
10/04/2016 11:00,10/04/2016 11:00,34,-24,35,521,2016/04/14 0735,14/04/2016 09:00,15/04/2016 04:00,420,480,8,1,-1 days +23:48:00,FALSE
28/07/2016 22:24,29/07/2016 08:50,7,10,45,350,2016/08/02 1400,02/08/2016 14:00,03/08/2016 03:00,420,460,20,2,0 days 00:00:00,TRUE
08/10/2016 21:09,09/10/2016 15:56,10,-22,37,243,2016/10/12 2212,13/10/2016 06:00,14/10/2016 16:00,390,460,19,2,0 days 00:00:00,TRUE
04/09/2017 20:36,04/09/2017 23:05,-10,10,46,1114,2017/09/06 2347,07/09/2017 20:00,08/09/2017 04:00,490,580,10,1,0 days 00:00:00,TRUE
05/03/2018 23:39,06/03/2018 09:54,-12,-12,29,386,2018/03/09 1809,09/03/2018 22:00,11/03/2018 00:00,410,450,14,2,-1 days +22:09:00,FALSE
20/08/2018 21:24,21/08/2018 18:06,10,0,19,309,2018/08/25 0200,25/08/2018 12:00,26/08/2018 12:00,410,440,16,2,0 days 00:00:00,TRUE
07/05/2019 04:42,07/05/2019 10:30,14,-36,33,422,2019/05/10 1754,11/05/2019 06:00,13/05/2019 07:00,350,380,8,1,0 days 00:00:00,TRUE
25/10/2019 05:54,25/10/2019 20:56,-5,3,17,262,2019/10/29 2000,29/10/2019 20:00,30/10/2019 21:00,380,410,10,2,0 days 00:00:00,TRUE
14/04/2020 21:54,15/04/2020 15:51,-1,31,30,232,2020/04/20 0231,20/04/2020 09:00,21/04/2020 04:00,330,360,15,2,0 days 00:00:00,TRUE
07/12/2020 16:24,07/12/2020 18:49,-21,12,41,1383,2020/12/10 0210,10/12/2020 23:00,13/12/2020 04:00,440,570,5,0,0 days 00:00:00,TRUE
20/02/2021 11:36,20/02/2021 18:33,-18,-31,50,680,2021/02/23 0200,23/02/2021 08:00,24/02/2021 15:00,510,590,5,0,0 days 00:12:00,FALSE
09/05/2021 11:23,09/05/2021 15:54,-4,-10,27,717,2021/05/12 0637,12/05/2021 15:00,14/05/2021 20:00,410,500,8,2,-1 days +23:23:00,FALSE
23/08/2021 06:36,23/08/2021 14:36,11,-1,35,393,2021/08/27 0114,27/08/2021 12:00,28/08/2021 15:00,380,420,12,2,0 days 00:00:00,TRUE
28/09/2021 07:00,28/09/2021 12:13,-17,43,45,649,2021/10/01 1000,01/10/2021 11:00,02/10/2021 13:00,480,560,11,2,0 days 00:36:00,FALSE
09/10/2021 07:09,09/10/2021 10:33,6,9,45,983,2021/10/12 0226,12/10/2021 16:00,14/10/2021 00:00,440,490,6,1,-1 days +23:57:00,FALSE
24/11/2021 14:09,24/11/2021 19:47,-16,-3,31,561,2021/11/27 2251,28/11/2021 10:00,29/11/2021 02:00,370,400,10,2,-1 days +23:43:00,FALSE
16/01/2022 20:48,17/01/2022 02:12,12,30,22,610,2022/01/18 2340,19/01/2022 05:00,20/01/2022 01:00,610,680,5,1,0 days 00:00:00,TRUE
29/01/2022 23:36,30/01/2022 03:56,3,-9,45,628,2022/02/01 2220,02/02/2022 16:00,03/02/2022 11:00,460,500,14,2,0 days 00:00:00,TRUE
03/04/2022 16:38,03/04/2022 21:19,-4,22,35,702,2022/04/06 2318,07/04/2022 13:00,08/04/2022 22:00,380,430,8,0,-1 days +23:50:00,FALSE
09/04/2022 09:12,09/04/2022 20:27,-32,19,35,422,2022/04/12 1122,13/04/2022 02:00,13/04/2022 22:00,460,510,11,2,0 days 00:00:00,TRUE
11/04/2022 06:00,11/04/2022 11:45,-6,2,46,553,2022/04/14 0900,14/04/2022 13:00,15/04/2022 02:00,520,550,18,2,0 days 00:12:00,FALSE
03/07/2022 03:09,03/07/2022 14:09,6,-2,30,247,2022/07/07 0900,07/07/2022 12:00,08/07/2022 08:00,380,400,19,2,0 days 00:00:00,TRUE
