ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat,tt_icme,v_eff
12/09/2014 22:00,10/09/2014 18:18,-,2014-09-12 15:53:00,2014-09-12 22:00:00,2014-09-14 02:00:00,600,720,20,2,-,2014-09-10 18:18:00,2014-09-10 20:00:00,15,10,45,1400,M2M_CATALOG,2.0833333333333335,747.9205
28/03/2015 11:00,22/03/2015 19:36,-,2015-03-28 00:00:00,2015-03-28 11:00:00,2015-03-29 11:00:00,390,420,13,2,-,2015-03-22 19:36:00,2015-03-23 09:49:00,14,20,27,236,M2M_CATALOG,5.049305555555556,308.59049649291705
18/05/2015 20:00,13/05/2015 18:48,-,2015-05-18 19:00:00,2015-05-18 20:00:00,2015-05-19 02:00:00,460,480,16,2,-,2015-05-13 18:48:00,2015-05-14 03:55:00,37,7,37,354,M2M_CATALOG,4.670138888888889,333.6448327137546
13/07/2015 06:00,08/07/2015 09:12,-,2015-07-13 01:38:00,2015-07-13 06:00:00,2015-07-14 15:00:00,490,650,8,0,-,2015-07-08 09:12:00,2015-07-08 19:32:00,13,27,40,329,M2M_CATALOG,4.436111111111111,351.24632122730117
15/08/2015 21:00,12/08/2015 15:12,-,2015-08-15 08:29:00,2015-08-15 21:00:00,2015-08-16 08:00:00,500,510,12,1,-,2015-08-12 15:12:00,2015-08-12 21:22:00,-22,36,41,567,M2M_CATALOG,2.9847222222222225,522.0478129362494
21/09/2015 08:00,18/09/2015 05:00,-,2015-09-20 06:04:00,2015-09-21 08:00:00,2015-09-22 01:00:00,510,600,5,0,-,2015-09-18 05:00:00,2015-09-18 09:37:00,-26,7,38,744,M2M_CATALOG,2.932638888888889,531.3193227563344
25/10/2015 14:00,22/10/2015 03:12,-,2015-10-24 18:54:00,2015-10-25 14:00:00,2015-10-27 04:00:00,430,490,7,1,-,2015-10-22 03:12:00,2015-10-22 07:09:00,-13,37,43,861,M2M_CATALOG,3.2854166666666664,474.2679137603044
07/11/2015 06:00,04/11/2015 14:24,-,2015-11-06 18:18:00,2015-11-07 06:00:00,2015-11-08 16:00:00,500,680,13,2,-,2015-11-04 14:24:00,2015-11-04 19:30:00,-6,18,50,780,M2M_CATALOG,2.4375,639.2482905982906
31/12/2015 17:00,28/12/2015 12:39,-,2015-12-31 00:50:00,2015-12-31 17:00:00,2016-01-02 11:00:00,440,480,10,2,-,2015-12-28 12:39:00,2015-12-28 16:43:00,-15,14,58,850,M2M_CATALOG,3.0118055555555556,517.3533548535854
19/01/2016 10:00,15/01/2016 00:00,-,2016-01-18 21:57:00,2016-01-19 10:00:00,2016-01-21 00:00:00,370,400,14,2,-,2016-01-15 00:00:00,2016-01-15 11:43:00,-30,31,45,483,M2M_CATALOG,3.928472222222222,396.6345235990808
