Observed,650.0,490.0,450.0,520.0,550.0,480.0,450.0,380.0,500.0,430.0,440.0,370.0,460.0
Spheroidal,677.362114066518,,489.5803419200075,504.2227633742358,495.13418089431207,521.5947143320215,669.8426476773146,,553.9552823096092,498.42165045663336,423.97217508172514,,555.2964304075614
v_1.0h,462.7909837838645,,430.516940295609,437.12600481947106,434.7793734085216,461.8057414642283,615.222255950485,,434.0487529823719,449.1907314698464,409.96547169920274,,420.7267360378055
v_1.5h,485.2197637743172,,437.5072438349011,442.07967048664057,438.24311495044185,466.2294954905948,620.7442592111273,,447.12474263346724,453.46014869973084,414.34508930254833,,428.7903224962878
v_2.0h,511.1599396875877,,441.1510714297619,448.0397910817105,441.1564967162216,470.64252984049807,625.0312688965885,,460.2638472173881,457.2297948867869,419.109023529201,,436.88584848138953
v_2.5h,533.9734411838826,,453.0772338891373,454.3222449062937,444.12110657460437,473.78165430056026,629.8705324814621,,473.09757135993283,461.6978901286944,422.36592374966085,,444.7613601005389
v_3.0h,545.1603157232289,,456.1097678223703,460.9921326864619,447.66955049807854,478.06766220216616,634.381485266982,,485.496386584038,464.07761586352063,427.1655437393226,,452.3481634842924
v_3.5h,563.9614792510397,,458.96813194272397,467.7430524767232,450.21749347897673,482.3729714780765,638.7084992303569,,497.41445616822807,467.927992654228,431.8615229198681,,461.0507981434639
v_4.0h,580.8585906729638,,465.0688998977341,474.4106000582418,454.39528930689585,486.6284204437322,642.0894814531314,,506.30604196341966,470.7759486124598,436.4119242696347,,467.9871998743746
v_4.5h,592.0137684916242,,471.1173026749322,481.17794217050914,458.2332175588266,489.65409289678763,646.0283098301304,,517.3252853382721,473.4769422054563,439.26739856486466,,474.63281752500103
v_5.0h,606.2877828779895,,476.345239908402,487.8077562845772,463.0236736000653,493.93222347020946,649.078139235044,,527.9109129914326,476.06205604560995,443.5172858254614,,481.0060868232965
v_5.5h,619.4402922532007,,478.4296752550821,494.4616925921412,466.04031667228827,498.162916916115,652.1263985274785,,538.1769972499353,479.09818474945973,447.58033251404083,,487.16515680613594
v_6.0h,625.701011749007,,480.44935841139375,502.5328779999055,471.1784314279323,502.47954033181696,655.6766663046222,,548.0873066062534,480.792723468772,451.4869865888509,,493.08390505932846
v_6.5h,637.3749894523982,,488.17239123988446,507.3146681917208,475.4045625754729,505.563185030999,659.1397783546302,,557.7350453292087,483.4802253924973,453.90295969529876,,499.91185436863316
v_7.0h,648.3711961763318,,489.97186643181834,513.632226606324,479.47424973463745,509.823399182409,662.365945103374,,567.159267147647,485.52878261828744,457.63308806630135,,505.4050367085643
v_7.5h,655.573410314932,,494.1669444979382,519.8805809700137,483.7152253951314,512.7994625424877,665.0104006722783,,573.9922986901497,487.44465686590917,461.2552923402207,,510.7439440697468
v_8.0h,665.4488705943317,,495.7654633259939,525.8933896025025,488.89314707261724,516.9788485246067,668.1105372744117,,583.003877205402,489.2867245768053,464.79201366191853,,515.8682251311228
v_8.5h,674.8503808927065,,497.3168128852669,533.5238015641283,493.1897342059634,520.048376464969,670.9724398534063,,591.6572335821869,490.5885398448519,465.8070921773314,,520.9070186076781
v_9.0h,679.1753869487209,,503.70317939055633,537.9319578355642,497.435297383325,524.4975794888937,673.3071763237022,,600.0042852136193,492.7315358420908,469.2313975419081,,525.7523967592804
v_9.5h,687.9795803377677,,505.0612177717272,545.1287712734411,502.538543875614,528.6965723247135,675.430880982961,,607.7992441943178,494.3112255946673,472.52368807056445,,530.4415415287665
v_10.0h,696.3251302532991,,508.49165747646686,549.4867298708339,506.8211862102128,532.9208543558036,678.0006918135313,,615.5449067318577,495.85803644843816,475.7628612619169,,535.8901500388527
v_10.5h,701.6669563505737,,509.7438079760711,554.891690138066,510.9727052420785,536.0981472591615,680.4205880777341,,623.2475219436853,497.33381343990527,478.928580598024,,540.3081345958099
v_11.0h,709.4731112664209,,515.3637976564421,562.1676912603145,515.1636058569105,540.1769050582582,682.3167361153331,,630.4348627449357,499.10903706320687,480.8812920830323,,544.6241285923542
v_11.5h,716.9953089113326,,516.4982485791562,566.5843605452719,519.8110715438927,544.4426621325941,684.4276244626174,,636.1316777650892,500.1056374654414,483.9520327129067,,548.8654489751286
v_12.0h,720.3410765171074,,517.6133523505192,572.7071480293905,523.4047507615884,548.7499261793719,686.3604731109342,,642.9627828984766,501.7328761421753,486.9793663955546,,553.0070236810678
v_12.5h,727.5864771888849,,520.5803913162812,577.3061740375176,528.3280246251978,552.174472785108,687.8861290117717,,649.4785728882656,502.9459794141299,489.95881032934943,,556.8597038311174
v_13.0h,734.6909680057383,,523.8312778427917,582.874577264886,532.5263157726207,556.4878620773866,689.5112859209536,,656.6498497588548,504.150239011049,491.92450686162834,,561.4919107482226
v_13.5h,739.0503658838738,,526.5690830276433,588.8917656066479,537.6528779369853,560.7838835303487,690.955461639177,,663.1799342018734,505.2522410245359,494.86253040083284,,565.3819525494224
v_14.0h,745.1035501335035,,527.5131500804267,593.5234544193239,539.9064256167464,564.8580705402411,692.2217739139032,,669.8946177290229,506.6342483818861,497.7599743058782,,568.8257476719331
v_14.5h,751.8947991905612,,528.4427398638903,600.1607308150543,544.8989900006382,567.9470420210546,692.9809390611306,,676.1149680817525,507.3843813944073,500.60422195950804,,572.5623260804912
v_15.0h,754.6012062110651,,533.0514479311536,602.8656253707404,549.5955445941088,569.9308694042755,693.9776946607885,,680.6100494563308,508.64956160649166,502.5962714595052,,575.8275800734712
v_15.5h,760.3099218065738,,533.897194866311,609.1749209591196,552.4962868948018,574.5593132299072,694.8125256500516,,686.4961098192135,509.35329566169935,505.4045277632482,,579.1227741709813
v_16.0h,765.5940303108354,,536.2888051194392,615.721175339538,557.6694451258197,579.3683078609371,695.4976610344738,,690.6402050706171,510.52318137502124,508.2031329158962,,582.5179468075198
v_16.5h,769.2428192724633,,537.0753919577419,618.5270889934471,562.0787630338191,581.9945246986811,695.9480973829392,,698.4388775794608,511.41106038233494,510.13552757139996,,585.9584315348868
v_17.0h,774.8928402455516,,537.842818987076,625.561201981189,565.2075567958024,586.108732181899,696.4008210128521,,701.345661349844,512.0531547497473,512.0933243922394,,588.869799079162
v_17.5h,777.6562528302287,,541.9630421753518,627.9727887491727,569.1567128877151,589.4199923420603,696.7481492219785,,709.3994441070167,513.1134501998976,514.7228610569088,,592.0637832148359
v_18.0h,781.8472060152432,,542.6299784788242,635.6007121762564,573.8804991877721,594.8977302917782,697.0128512151763,,713.6067403575325,513.8627239653471,517.5617951617334,,594.7772085339827
v_18.5h,787.2154647968678,,544.756913487448,638.4568643300596,577.2735721733758,597.6835647614326,697.21152373547,,718.1161792317627,514.5569738415877,520.1592768303508,,597.1967856951567
v_19.0h,788.673485587398,,545.394262888156,646.0114653770029,582.9831271544007,600.0513788942503,697.3283459167023,,720.3417923294736,515.1649582640953,522.0186688432806,,599.4710917786543
v_19.5h,793.4168222273615,,547.8561433913411,649.6159594140586,585.6473442845262,606.0653638040014,697.4333910701549,,730.7689859741421,515.8408597541602,524.7181633207255,,602.1516418441098
v_20.0h,797.6229411829075,,549.8742813833948,652.1983077546868,590.6871416446588,608.1277209002545,697.6202563218037,,735.6040671795181,516.1740192244183,527.2427280166977,,604.5461068206984
v_20.5h,798.3664797551247,,550.5279216981204,660.5758007518061,594.0589058266474,614.3010338690954,697.670662997866,,737.7136024945364,516.6725012879132,530.0061961424431,,606.7624586424861
v_21.0h,800.6282584035428,,552.5118660931364,665.276162167598,597.7350266155222,616.9326861610025,697.7026299815006,,739.9089010263226,516.9550528120623,532.3404751578774,,608.7111986132475
v_21.5h,803.1527161074164,,554.7833952803308,666.5789786083749,600.4318149017238,620.3240249786132,697.8307277003868,,748.4276543150246,517.2340703064726,534.1056532364044,,610.4204195202749
v_22.0h,805.4778313649085,,556.6974293547113,670.0274121502216,603.7458849934118,621.8060581534827,697.8435352928211,,756.7165903657195,517.4397595873469,536.7674500261322,,611.9144117571494
v_22.5h,807.279786011606,,557.335070006655,673.1911207205088,608.3595096934451,626.4769507814026,697.8508895405755,,755.964642560847,517.7412666886468,539.4235623681888,,613.215586848045
v_23.0h,808.7068055362346,,557.94328711091,683.9765608203797,614.9144210655757,627.9010250060991,697.8549583644399,,763.6273378653958,517.8723937947548,541.6415856929482,,614.5420109697903
