Observed,380.0,650.0,490.0,450.0,520.0,550.0,480.0,450.0,380.0,500.0,430.0,440.0,370.0,460.0
Spheroidal,,503.30484955327637,,582.9712978409062,488.5628157121231,472.0798042347718,429.85703773843613,400.11128829214715,,530.379597345095,561.5191942518588,334.4509106751079,,438.53789131014497
v_1.0h,,375.873758012509,,522.9842835204038,404.13222851757183,368.76512436383297,351.27004697485484,371.4936533592525,,441.4048310748569,531.0239770523632,327.4016987250772,,328.69868038518166
v_1.5h,,386.8603317519099,,534.3374877929831,412.8230656743305,378.0602742559097,358.6016687516163,371.818401324298,,449.49939797556254,536.1179474356794,328.6605367286308,,327.42199758410965
v_2.0h,,399.97094482917714,,538.4178279563309,421.4562034066892,386.92420666642005,365.6796279512613,372.92145581197315,,458.46854302659864,539.865042510814,331.30106453407103,,330.9662038672065
v_2.5h,,412.20411060509554,,552.23499262891,429.976961293849,395.25889308818984,370.25162284000123,374.59308059185236,,467.7366593744137,544.6610988135582,333.4275562828758,,336.32498331458794
v_3.0h,,418.9218922572523,,554.8824923035729,438.29376737992135,405.21094665903456,376.9197574296517,376.588809508776,,476.9208422825912,546.200979901104,336.6238888650279,,342.22910177695144
v_3.5h,,429.75634660559393,,557.2834849475479,446.44202260581335,410.74278524310154,383.3353149497127,378.7548604709017,,485.9471498591872,549.685476908866,339.92949234878733,,349.45787323949986
v_4.0h,,439.8068905426866,,562.8688368627,454.46661870694766,419.65854485695763,389.5080110349163,380.71135564338266,,492.9013976016532,550.9319761087883,343.2973016545801,,355.43684862950164
v_4.5h,,447.0964224547108,,568.435876072997,462.2808806730404,426.1991099280103,393.40815616659387,383.0224518030832,,501.45886057148516,552.8190420870526,345.588854148449,,361.30062246769444
v_5.0h,,455.9135768882938,,572.873548922736,470.01369800596524,433.98844640446623,399.13577612873877,384.9233053124898,,509.75161544832923,553.2180009841546,348.95955750880074,,367.0432658676814
v_5.5h,,464.1335913754356,,574.3278752064039,477.5328746458759,438.2690859617584,404.5995753434611,387.0002714513627,,517.8305777141319,554.6916149564232,352.3213703689727,,372.64045269510257
v_6.0h,,468.619501599004,,575.688165240262,486.8573565476831,445.1803671241864,409.8331286588131,389.3828653343998,,525.6980427142529,554.2466259182058,355.64993716886755,,378.10366795198894
v_6.5h,,476.0909951090373,,582.4182828732244,492.1931588843733,450.3119687250217,413.1294364164183,391.7847335522624,,533.3931030851821,555.624121302214,357.8537216067181,,384.4829917160544
v_7.0h,,483.1052872781689,,583.5712509710272,499.3208678844825,455.263287105888,417.94784922643487,394.20899836681536,,540.7948060868749,555.7454125541932,361.1105225476253,,389.6472378279043
v_7.5h,,488.3142418470236,,586.9115065116433,506.3414880920839,459.9377262014463,421.0493844326518,396.2982267988058,,546.329076772134,556.9763644852535,364.3227862820266,,394.69147217093297
v_8.0h,,494.79107036309586,,587.9287027649783,513.1932027080558,465.6187749426793,425.5654712724571,398.6701484911,,553.3403027044513,557.2590411962046,367.50534689867914,,399.62163906652535
v_8.5h,,500.96467252472354,,588.8783514908924,521.7022979401335,469.94321384162583,428.431174332338,401.1617530014059,,560.089449671655,557.2986884506822,368.51671066560493,,404.39472202181
v_9.0h,,504.4339793058689,,594.4913188275002,526.6531484615531,474.1906769282942,432.6643544389809,403.1915273713895,,567.0047792100286,558.844921813591,371.61584087502206,,409.12491990373263
v_9.5h,,510.2993182287868,,595.2325429747259,535.0540516536734,479.2242281590602,436.7417928061376,405.03426491192374,,573.6266644063719,559.2195436467854,374.6831035968867,,413.69740971303014
v_10.0h,,516.062454835506,,597.8900162972838,539.7102807011072,483.3496706968197,440.76070760316594,407.5361040538728,,579.7140102966164,560.3747310572925,377.70192496768414,,419.06889287745724
v_10.5h,,520.3708978826153,,598.4764823208048,545.8690663168325,487.154645730116,443.34813622104633,409.883190393788,,585.7522733558324,560.724318474437,380.6727655677998,,423.42803510278554
v_11.0h,,526.0695096782498,,603.3412562360675,553.8520689879243,491.1477117812626,447.1398789392781,411.99426498260823,,592.5705797541048,562.0295668744915,382.5851750031343,,427.6851750380387
v_11.5h,,531.5448974333591,,603.8265840076704,558.1854834073453,495.7970496936364,450.87831107161855,414.2341555080302,,596.4469172637977,562.0760764208679,385.47478269947146,,431.94011326284846
v_12.0h,,534.500607352547,,604.3153305906877,566.1699822572433,498.54537581092256,454.51273817080033,416.55236931901146,,602.7843231704239,563.2349877907099,388.365137814233,,436.11178223302244
v_12.5h,,539.9134783270244,,606.4502511647855,570.8350458847603,503.56663108711047,456.8164792182743,418.7436181802157,,608.7843039072874,563.4499914753343,391.18956444256236,,440.096517836715
v_13.0h,,545.496245466738,,609.1185709922594,576.6930043608454,507.30842114430783,460.39337471101487,421.066493283811,,616.2201792885745,564.2463711472589,392.9818886169123,,444.9709818780922
v_13.5h,,549.0742784343605,,611.0869253758844,583.5108693047899,511.5439691658293,464.0745260595492,423.44095342209135,,621.4508408253492,564.3842248492737,395.7996835775526,,448.7833779946771
v_14.0h,,554.683181399947,,611.3819227334699,588.3906812641964,514.7614625230729,467.3578263670789,425.8713225351114,,625.546182697097,565.2238558241953,398.482454475427,,452.6280249948952
v_14.5h,,559.9956790299042,,611.6074395144464,595.0868767807125,519.1176526436203,469.9906938286353,427.2569221242853,,631.4348552496753,565.1266082905662,401.21778586794983,,456.56666689681924
v_15.0h,,562.9128186280118,,615.7647690922262,599.9592789927148,523.088917115494,472.16857534892387,429.57478760316684,,635.5487226170945,565.8285498122988,402.9294846450234,,460.3812779207811
v_15.5h,,568.1773924424717,,615.9546060322892,607.1602652272052,526.7115629640458,475.76838326532516,432.1303960241352,,641.6460166169621,565.6960366247231,405.56799404257424,,464.12795695734303
